artifact_path,artifact_group,extension,size_bytes,line_count,is_binary,sha256,generated_by
raw/standards/rfc9234.txt,raw,.txt,29154,648,False,3934af354c672133337c5ce731282f97c00587d63ec1267c824c3fb5dcb39775,manual_or_collected_source
raw/tools_docs/bgpstream_docs.html,raw,.html,14139,311,False,add472809c9ac1f0b286137fd11b960ada318e3b1ee2434247bce3f0aa49be1d,manual_or_collected_source
raw/tools_docs/bgpstream_tutorials.html,raw,.html,14723,335,False,8712582c5dbce41b49a14e5d239ce6d437858fe9c0557c2c4ec428c9350f45cb,manual_or_collected_source
relationships/relationships.jsonl,relationships,.jsonl,20534,106,False,fbd71fccc3802ab2a4d8bb3e7e8fba148b8e44f418a3551882a76d2a3b0296ca,manual_seed_or_scripts/build_relationships.py
reports/README.md,reports,.md,6254,99,False,43ef16877ccb1bf7225f23b98b16c0de37e2da3855136831ae25d776e891762b,manual_or_prior_step_report
reports/authoritative_source_requirements_report.md,reports,.md,912,29,False,6da071facc279302ff83c16c1366fc07889a3929ead8af364555a86ed5316c8d,scripts/build_authoritative_source_requirements.py
reports/bge_m3_embedding_report.md,reports,.md,476,23,False,b77ae093e7a139c9497d33ea929f63e6abd3e467ad48a332d518cd102c269c98,scripts/build_bge_m3_index.py
reports/case_observation_guides/README.md,reports,.md,3219,44,False,eef901c09700fa98d01182a005fb11575f1cfa4f2a7f1435bebc742b5f9d5a84,scripts/build_case_observation_guides.py
reports/case_observation_guides/aws_route53_crypto_hijack_2018.md,reports,.md,12568,264,False,e62c3fbe95cc23df9e297e93d1c73660232c3bbd2df9bdd98eba5297aeb09b87,scripts/build_case_observation_guides.py
reports/case_observation_guides/cert_eu_china_telecom_route_leak_2019.md,reports,.md,6203,133,False,ff6aab26ca0fd1a7556802f0402df3462b531c1a2c2377f0c4ede5e4b242db04,scripts/build_case_observation_guides.py
reports/case_observation_guides/china_telecom_europe_route_leak_2019.md,reports,.md,4104,92,False,1a0efabe38b892fd0e2bcb7818ba3fc1707478a132d598364669d2e9c0f3fe8c,scripts/build_case_observation_guides.py
reports/case_observation_guides/cloudflare_outage_2026.md,reports,.md,5809,133,False,91a9b674272e1f82e74e5c46b0a96a69ccfbdab7d928f571d8f8660748dca212,scripts/build_case_observation_guides.py
reports/case_observation_guides/cloudflare_verizon_route_leak_2019.md,reports,.md,5371,119,False,720f9f45c93d3f9659d51e05f7f735e7df9a41a8d18e5371233997478adb6c95,scripts/build_case_observation_guides.py
reports/case_observation_guides/facebook_outage_cloudflare_2021.md,reports,.md,10856,231,False,7c6b1207b812a3a08ee9150b2b2d24fbb661d0b641802d41da6e32b16a476f85,scripts/build_case_observation_guides.py
reports/case_observation_guides/facebook_outage_meta_2021.md,reports,.md,1513,43,False,439d2d216bcc696333112791a8a2df019c02fc6dbbfd1f1669974170cba74185,scripts/build_case_observation_guides.py
reports/case_observation_guides/fastly_rpki_hijack_2024.md,reports,.md,542,20,False,3b24a0d8581e359412a3e8992b24d300578532f2d484eece64d5e248801a4f0c,scripts/build_case_observation_guides.py
reports/case_observation_guides/indosat_route_leak_2014.md,reports,.md,2367,61,False,39147427f86e424da7c8e7d6853e9c5354338b7ff4cfde46bcf3b90d02c262f5,scripts/build_case_observation_guides.py
reports/case_observation_guides/mainone_google_cloudflare_route_leak_2018.md,reports,.md,6613,143,False,0337baa515fa54c9a43deb3f961af8694b0c81f3b5f98870a3d8981519068582,scripts/build_case_observation_guides.py
reports/case_observation_guides/manrs_bgp_2020_review.md,reports,.md,1940,51,False,062df85e53a4a8531fab96d0663cf0e67108074bc1a62508a79ffa80b7269c52,scripts/build_case_observation_guides.py
reports/case_observation_guides/manrs_regional_bgp_incidents_2020.md,reports,.md,4920,109,False,56dccab1e90a4f64db9465456c1a697a179d97ff2dddc8f7b23b8179c617d8b9,scripts/build_case_observation_guides.py
reports/case_observation_guides/youtube_hijack_google_2008.md,reports,.md,2400,62,False,9fca7aa49cc493f4d9b061f9c2ab4a35644c6526e021d8aceb9ae36c7c5c7c34,scripts/build_case_observation_guides.py
reports/case_observation_report.md,reports,.md,1887,45,False,f456ca7b5bf1a6aac599fcf7002230ec528ae23660e33b9558f161f3934d1bde,scripts/extract_case_observations.py
reports/coverage_report.md,reports,.md,16613,236,False,f32c757fd87eba6f885c91f6870bd291673ce33e4e1b88a5a83c853b68e17873,scripts/build_coverage_report.py
reports/data_dictionary_report.md,reports,.md,24271,151,False,8b34aa743b6d4c1d6dad4c91ffb3ba9272576cc04af0630d690bc3855285cf7c,scripts/build_data_dictionary.py
reports/data_management_report.md,reports,.md,11500,225,False,c63cef5c0c464e0fe056a28c8e0950020e55cb0a4ef701a250245721e37e9f54,manual_or_prior_step_report
